concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
Assign seriousness,complete,Value 8,2011-03-07 09:59:06+00:00,Assign seriousness,Value 8,Case646,Variant 3,3,Fluxicon Disco
Take in charge ticket,complete,Value 8,2011-03-07 09:59:47+00:00,Take in charge ticket,Value 8,Case646,Variant 3,3,Fluxicon Disco
Wait,complete,Value 13,2011-03-22 12:12:53+00:00,Wait,Value 13,Case646,Variant 3,3,Fluxicon Disco
Take in charge ticket,complete,Value 13,2011-03-23 07:32:23+00:00,Take in charge ticket,Value 13,Case646,Variant 3,3,Fluxicon Disco
Resolve ticket,complete,Value 13,2011-03-23 07:32:35+00:00,Resolve ticket,Value 13,Case646,Variant 3,3,Fluxicon Disco
Closed,complete,Value 5,2011-04-07 05:32:42+00:00,Closed,Value 5,Case646,Variant 3,3,Fluxicon Disco
Assign seriousness,complete,Value 13,2011-06-13 07:04:38+00:00,Assign seriousness,Value 13,Case1991,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 13,2011-06-13 07:05:13+00:00,Take in charge ticket,Value 13,Case1991,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 13,2011-06-13 09:40:22+00:00,Resolve ticket,Value 13,Case1991,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-07-14 07:10:19+00:00,Closed,Value 5,Case1991,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 9,2011-08-16 04:30:47+00:00,Assign seriousness,Value 9,Case3952,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-09-02 05:41:40+00:00,Take in charge ticket,Value 2,Case3952,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-09-12 06:00:24+00:00,Resolve ticket,Value 2,Case3952,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-09-27 06:00:43+00:00,Closed,Value 5,Case3952,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-07-31 13:08:12+00:00,Assign seriousness,Value 1,Case1787,Variant 44,44,Fluxicon Disco
Take in charge ticket,complete,Value 4,2012-08-06 06:01:23+00:00,Take in charge ticket,Value 4,Case1787,Variant 44,44,Fluxicon Disco
Wait,complete,Value 13,2012-08-16 04:25:03+00:00,Wait,Value 13,Case1787,Variant 44,44,Fluxicon Disco
Wait,complete,Value 13,2012-08-16 04:25:03+00:00,Wait,Value 13,Case1787,Variant 44,44,Fluxicon Disco
Resolve ticket,complete,Value 9,2012-08-23 11:30:26+00:00,Resolve ticket,Value 9,Case1787,Variant 44,44,Fluxicon Disco
Resolve ticket,complete,Value 9,2012-08-23 11:30:29+00:00,Resolve ticket,Value 9,Case1787,Variant 44,44,Fluxicon Disco
Closed,complete,Value 3,2012-09-07 11:30:40+00:00,Closed,Value 3,Case1787,Variant 44,44,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-02-10 12:32:25+00:00,Assign seriousness,Value 1,Case4541,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2012-02-15 09:29:00+00:00,Take in charge ticket,Value 2,Case4541,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2012-02-15 12:22:40+00:00,Resolve ticket,Value 2,Case4541,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-03-14 12:40:35+00:00,Closed,Value 5,Case4541,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 4,2011-11-11 09:15:03+00:00,Take in charge ticket,Value 4,Case1957,Variant 18,18,Fluxicon Disco
Wait,complete,Value 4,2011-11-11 09:48:22+00:00,Wait,Value 4,Case1957,Variant 18,18,Fluxicon Disco
Resolve ticket,complete,Value 4,2011-11-28 14:13:37+00:00,Resolve ticket,Value 4,Case1957,Variant 18,18,Fluxicon Disco
Closed,complete,Value 5,2011-12-13 14:13:48+00:00,Closed,Value 5,Case1957,Variant 18,18,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-01-12 14:35:03+00:00,Assign seriousness,Value 8,Case2291,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 14,2011-01-14 09:26:55+00:00,Take in charge ticket,Value 14,Case2291,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 14,2011-01-14 09:27:11+00:00,Resolve ticket,Value 14,Case2291,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-02-12 14:40:33+00:00,Closed,Value 5,Case2291,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-05-04 10:49:39+00:00,Assign seriousness,Value 8,Case1207,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-05-18 07:28:05+00:00,Take in charge ticket,Value 2,Case1207,Variant 2,2,Fluxicon Disco
Wait,complete,Value 12,2011-05-18 07:43:36+00:00,Wait,Value 12,Case1207,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 12,2011-05-24 06:31:18+00:00,Resolve ticket,Value 12,Case1207,Variant 2,2,Fluxicon Disco
Closed,complete,Value 5,2011-06-08 06:31:44+00:00,Closed,Value 5,Case1207,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-05-09 07:56:38+00:00,Assign seriousness,Value 1,Case1649,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 4,2012-05-09 10:23:25+00:00,Take in charge ticket,Value 4,Case1649,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 4,2012-05-09 11:29:37+00:00,Resolve ticket,Value 4,Case1649,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-06-09 08:00:24+00:00,Closed,Value 5,Case1649,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 4,2012-05-30 10:25:09+00:00,Assign seriousness,Value 4,Case1489,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 4,2012-05-30 10:41:30+00:00,Take in charge ticket,Value 4,Case1489,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 4,2012-05-30 11:07:57+00:00,Resolve ticket,Value 4,Case1489,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-06-30 10:30:43+00:00,Closed,Value 5,Case1489,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 1,2011-12-16 07:12:13+00:00,Take in charge ticket,Value 1,Case3011,Variant 186,186,Fluxicon Disco
Wait,complete,Value 9,2011-12-16 13:19:46+00:00,Wait,Value 9,Case3011,Variant 186,186,Fluxicon Disco
Wait,complete,Value 9,2011-12-16 13:19:46+00:00,Wait,Value 9,Case3011,Variant 186,186,Fluxicon Disco
Resolve ticket,complete,Value 9,2012-01-05 06:48:26+00:00,Resolve ticket,Value 9,Case3011,Variant 186,186,Fluxicon Disco
Closed,complete,Value 5,2012-01-24 09:50:19+00:00,Closed,Value 5,Case3011,Variant 186,186,Fluxicon Disco
Assign seriousness,complete,Value 18,2013-09-03 11:55:46+00:00,Assign seriousness,Value 18,Case3928,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 2,2013-09-03 12:00:54+00:00,Take in charge ticket,Value 2,Case3928,Variant 2,2,Fluxicon Disco
Wait,complete,Value 18,2013-09-03 12:05:59+00:00,Wait,Value 18,Case3928,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 18,2013-09-26 06:17:13+00:00,Resolve ticket,Value 18,Case3928,Variant 2,2,Fluxicon Disco
Closed,complete,Value 3,2013-10-11 06:17:28+00:00,Closed,Value 3,Case3928,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-04-19 12:41:52+00:00,Assign seriousness,Value 2,Case625,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 12,2010-04-20 04:20:23+00:00,Take in charge ticket,Value 12,Case625,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 12,2010-04-22 11:28:57+00:00,Resolve ticket,Value 12,Case625,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-05-20 12:50:37+00:00,Closed,Value 5,Case625,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 4,2013-08-12 05:32:02+00:00,Assign seriousness,Value 4,Case3742,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 9,2013-08-23 11:49:31+00:00,Take in charge ticket,Value 9,Case3742,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 4,2013-09-13 06:20:09+00:00,Resolve ticket,Value 4,Case3742,Variant 1,1,Fluxicon Disco
Closed,complete,Value 3,2013-09-28 06:20:24+00:00,Closed,Value 3,Case3742,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 4,2012-02-24 07:12:34+00:00,Assign seriousness,Value 4,Case1802,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 4,2012-02-24 07:15:32+00:00,Take in charge ticket,Value 4,Case1802,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 9,2012-02-27 14:27:15+00:00,Resolve ticket,Value 9,Case1802,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-04-04 05:20:28+00:00,Closed,Value 5,Case1802,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 4,2011-10-18 09:06:24+00:00,Assign seriousness,Value 4,Case1105,Variant 118,118,Fluxicon Disco
Assign seriousness,complete,Value 6,2011-10-18 10:17:30+00:00,Assign seriousness,Value 6,Case1105,Variant 118,118,Fluxicon Disco
Assign seriousness,complete,Value 6,2011-10-18 10:17:31+00:00,Assign seriousness,Value 6,Case1105,Variant 118,118,Fluxicon Disco
Take in charge ticket,complete,Value 9,2011-10-20 04:45:22+00:00,Take in charge ticket,Value 9,Case1105,Variant 118,118,Fluxicon Disco
Resolve ticket,complete,Value 9,2011-10-20 05:14:31+00:00,Resolve ticket,Value 9,Case1105,Variant 118,118,Fluxicon Disco
Resolve ticket,complete,Value 9,2011-10-20 05:14:31+00:00,Resolve ticket,Value 9,Case1105,Variant 118,118,Fluxicon Disco
Closed,complete,Value 5,2011-12-10 11:10:36+00:00,Closed,Value 5,Case1105,Variant 118,118,Fluxicon Disco
Assign seriousness,complete,Value 9,2011-01-12 08:39:32+00:00,Assign seriousness,Value 9,Case141,Variant 22,22,Fluxicon Disco
Take in charge ticket,complete,Value 9,2011-01-12 08:39:56+00:00,Take in charge ticket,Value 9,Case141,Variant 22,22,Fluxicon Disco
Wait,complete,Value 9,2011-01-12 08:50:26+00:00,Wait,Value 9,Case141,Variant 22,22,Fluxicon Disco
Take in charge ticket,complete,Value 9,2011-01-12 09:07:51+00:00,Take in charge ticket,Value 9,Case141,Variant 22,22,Fluxicon Disco
Wait,complete,Value 9,2011-01-12 09:34:34+00:00,Wait,Value 9,Case141,Variant 22,22,Fluxicon Disco
Take in charge ticket,complete,Value 9,2011-01-26 07:25:14+00:00,Take in charge ticket,Value 9,Case141,Variant 22,22,Fluxicon Disco
Resolve ticket,complete,Value 9,2011-01-26 07:26:04+00:00,Resolve ticket,Value 9,Case141,Variant 22,22,Fluxicon Disco
Closed,complete,Value 5,2011-02-15 06:31:10+00:00,Closed,Value 5,Case141,Variant 22,22,Fluxicon Disco
Assign seriousness,complete,Value 14,2013-04-24 11:39:28+00:00,Assign seriousness,Value 14,Case3696,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 2,2013-05-10 11:41:45+00:00,Take in charge ticket,Value 2,Case3696,Variant 2,2,Fluxicon Disco
Wait,complete,Value 14,2013-05-13 06:00:17+00:00,Wait,Value 14,Case3696,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 1,2013-06-03 09:11:33+00:00,Resolve ticket,Value 1,Case3696,Variant 2,2,Fluxicon Disco
Closed,complete,Value 3,2013-06-18 09:11:48+00:00,Closed,Value 3,Case3696,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-06-27 12:22:36+00:00,Assign seriousness,Value 8,Case4467,Variant 48,48,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-06-27 12:31:36+00:00,Assign seriousness,Value 8,Case4467,Variant 48,48,Fluxicon Disco
Assign seriousness,complete,Value 2,2011-07-05 04:35:49+00:00,Assign seriousness,Value 2,Case4467,Variant 48,48,Fluxicon Disco
Take in charge ticket,complete,Value 7,2011-07-13 06:41:54+00:00,Take in charge ticket,Value 7,Case4467,Variant 48,48,Fluxicon Disco
Wait,complete,Value 7,2011-07-13 06:42:05+00:00,Wait,Value 7,Case4467,Variant 48,48,Fluxicon Disco
Take in charge ticket,complete,Value 7,2011-07-19 13:11:18+00:00,Take in charge ticket,Value 7,Case4467,Variant 48,48,Fluxicon Disco
Resolve ticket,complete,Value 7,2011-07-19 13:11:29+00:00,Resolve ticket,Value 7,Case4467,Variant 48,48,Fluxicon Disco
Closed,complete,Value 5,2011-08-03 13:11:46+00:00,Closed,Value 5,Case4467,Variant 48,48,Fluxicon Disco
Assign seriousness,complete,Value 2,2011-09-12 09:20:43+00:00,Assign seriousness,Value 2,Case2545,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-09-12 09:21:00+00:00,Take in charge ticket,Value 2,Case2545,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-09-13 04:27:11+00:00,Resolve ticket,Value 2,Case2545,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-10-19 09:30:20+00:00,Closed,Value 5,Case2545,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-04-20 11:40:01+00:00,Assign seriousness,Value 2,Case920,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-04-30 12:53:17+00:00,Take in charge ticket,Value 2,Case920,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-05-04 12:25:52+00:00,Resolve ticket,Value 2,Case920,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-05-21 11:50:26+00:00,Closed,Value 5,Case920,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2012-04-23 07:03:11+00:00,Assign seriousness,Value 2,Case3141,Variant 6,6,Fluxicon Disco
Take in charge ticket,complete,Value 1,2012-04-26 10:06:29+00:00,Take in charge ticket,Value 1,Case3141,Variant 6,6,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-05-08 06:18:57+00:00,Resolve ticket,Value 1,Case3141,Variant 6,6,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-05-08 06:18:57+00:00,Resolve ticket,Value 1,Case3141,Variant 6,6,Fluxicon Disco
Closed,complete,Value 5,2012-05-24 07:13:28+00:00,Closed,Value 5,Case3141,Variant 6,6,Fluxicon Disco
Assign seriousness,complete,Value 1,2013-01-21 06:08:20+00:00,Assign seriousness,Value 1,Case603,Variant 6,6,Fluxicon Disco
Take in charge ticket,complete,Value 1,2013-01-28 14:05:48+00:00,Take in charge ticket,Value 1,Case603,Variant 6,6,Fluxicon Disco
Resolve ticket,complete,Value 1,2013-02-15 06:05:19+00:00,Resolve ticket,Value 1,Case603,Variant 6,6,Fluxicon Disco
Resolve ticket,complete,Value 1,2013-02-15 06:05:20+00:00,Resolve ticket,Value 1,Case603,Variant 6,6,Fluxicon Disco
Closed,complete,Value 3,2013-03-02 06:05:34+00:00,Closed,Value 3,Case603,Variant 6,6,Fluxicon Disco
Insert ticket,complete,Value 5,2010-06-15 06:45:10+00:00,Insert ticket,Value 5,Case1774,Variant 31,31,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-06-15 07:19:33+00:00,Assign seriousness,Value 2,Case1774,Variant 31,31,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-06-15 07:35:33+00:00,Assign seriousness,Value 2,Case1774,Variant 31,31,Fluxicon Disco
Take in charge ticket,complete,Value 11,2010-06-21 07:43:57+00:00,Take in charge ticket,Value 11,Case1774,Variant 31,31,Fluxicon Disco
Resolve ticket,complete,Value 11,2010-06-21 07:46:55+00:00,Resolve ticket,Value 11,Case1774,Variant 31,31,Fluxicon Disco
Closed,complete,Value 5,2010-07-22 06:50:56+00:00,Closed,Value 5,Case1774,Variant 31,31,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-05-23 05:27:12+00:00,Assign seriousness,Value 8,Case3333,Variant 12,12,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-06-01 12:30:12+00:00,Take in charge ticket,Value 2,Case3333,Variant 12,12,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-06-06 05:03:42+00:00,Take in charge ticket,Value 2,Case3333,Variant 12,12,Fluxicon Disco
Resolve ticket,complete,Value 13,2011-06-06 12:12:33+00:00,Resolve ticket,Value 13,Case3333,Variant 12,12,Fluxicon Disco
Closed,complete,Value 5,2011-07-21 12:13:14+00:00,Closed,Value 5,Case3333,Variant 12,12,Fluxicon Disco
Assign seriousness,complete,Value 2,2013-02-20 08:04:37+00:00,Assign seriousness,Value 2,Case527,Variant 105,105,Fluxicon Disco
Wait,complete,Value 2,2013-02-20 08:06:32+00:00,Wait,Value 2,Case527,Variant 105,105,Fluxicon Disco
Assign seriousness,complete,Value 1,2013-02-21 06:18:56+00:00,Assign seriousness,Value 1,Case527,Variant 105,105,Fluxicon Disco
Assign seriousness,complete,Value 1,2013-02-21 06:19:02+00:00,Assign seriousness,Value 1,Case527,Variant 105,105,Fluxicon Disco
Take in charge ticket,complete,Value 2,2013-03-26 08:27:20+00:00,Take in charge ticket,Value 2,Case527,Variant 105,105,Fluxicon Disco
Resolve ticket,complete,Value 9,2013-03-26 12:39:50+00:00,Resolve ticket,Value 9,Case527,Variant 105,105,Fluxicon Disco
Closed,complete,Value 3,2013-04-10 10:40:13+00:00,Closed,Value 3,Case527,Variant 105,105,Fluxicon Disco
Assign seriousness,complete,Value 2,2012-02-14 13:09:55+00:00,Assign seriousness,Value 2,Case4056,Variant 5,5,Fluxicon Disco
Resolve ticket,complete,Value 2,2012-02-14 13:10:30+00:00,Resolve ticket,Value 2,Case4056,Variant 5,5,Fluxicon Disco
Closed,complete,Value 5,2012-03-29 11:10:28+00:00,Closed,Value 5,Case4056,Variant 5,5,Fluxicon Disco
Assign seriousness,complete,Value 14,2013-09-05 09:44:56+00:00,Assign seriousness,Value 14,Case230,Variant 17,17,Fluxicon Disco
Assign seriousness,complete,Value 14,2013-09-05 09:45:51+00:00,Assign seriousness,Value 14,Case230,Variant 17,17,Fluxicon Disco
Take in charge ticket,complete,Value 9,2013-09-05 09:48:44+00:00,Take in charge ticket,Value 9,Case230,Variant 17,17,Fluxicon Disco
Wait,complete,Value 9,2013-09-09 12:56:08+00:00,Wait,Value 9,Case230,Variant 17,17,Fluxicon Disco
Resolve ticket,complete,Value 9,2013-09-27 10:20:43+00:00,Resolve ticket,Value 9,Case230,Variant 17,17,Fluxicon Disco
Closed,complete,Value 3,2013-10-12 10:20:59+00:00,Closed,Value 3,Case230,Variant 17,17,Fluxicon Disco
Assign seriousness,complete,Value 13,2011-02-18 13:15:26+00:00,Assign seriousness,Value 13,Case2751,Variant 3,3,Fluxicon Disco
Take in charge ticket,complete,Value 13,2011-02-18 13:15:52+00:00,Take in charge ticket,Value 13,Case2751,Variant 3,3,Fluxicon Disco
Wait,complete,Value 9,2011-02-21 06:12:35+00:00,Wait,Value 9,Case2751,Variant 3,3,Fluxicon Disco
Take in charge ticket,complete,Value 9,2011-03-04 07:18:27+00:00,Take in charge ticket,Value 9,Case2751,Variant 3,3,Fluxicon Disco
Resolve ticket,complete,Value 9,2011-03-04 07:18:42+00:00,Resolve ticket,Value 9,Case2751,Variant 3,3,Fluxicon Disco
Closed,complete,Value 5,2011-04-07 11:21:13+00:00,Closed,Value 5,Case2751,Variant 3,3,Fluxicon Disco
Take in charge ticket,complete,Value 4,2012-03-29 07:18:54+00:00,Take in charge ticket,Value 4,Case3736,Variant 11,11,Fluxicon Disco
Resolve ticket,complete,Value 4,2012-03-29 07:51:32+00:00,Resolve ticket,Value 4,Case3736,Variant 11,11,Fluxicon Disco
Closed,complete,Value 5,2012-05-21 07:21:06+00:00,Closed,Value 5,Case3736,Variant 11,11,Fluxicon Disco
Assign seriousness,complete,Value 9,2011-08-19 05:34:56+00:00,Assign seriousness,Value 9,Case1738,Variant 5,5,Fluxicon Disco
Resolve ticket,complete,Value 9,2011-08-22 05:43:24+00:00,Resolve ticket,Value 9,Case1738,Variant 5,5,Fluxicon Disco
Closed,complete,Value 5,2011-10-08 05:41:12+00:00,Closed,Value 5,Case1738,Variant 5,5,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-03-04 07:34:36+00:00,Assign seriousness,Value 8,Case217,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 8,2011-03-04 07:35:05+00:00,Take in charge ticket,Value 8,Case217,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-03-08 13:20:32+00:00,Resolve ticket,Value 2,Case217,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-04-13 05:40:35+00:00,Closed,Value 5,Case217,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 14,2013-06-20 04:32:10+00:00,Assign seriousness,Value 14,Case4351,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 1,2013-07-01 09:21:12+00:00,Take in charge ticket,Value 1,Case4351,Variant 2,2,Fluxicon Disco
Wait,complete,Value 1,2013-07-01 09:44:59+00:00,Wait,Value 1,Case4351,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 1,2013-07-23 06:38:45+00:00,Resolve ticket,Value 1,Case4351,Variant 2,2,Fluxicon Disco
Closed,complete,Value 3,2013-08-07 06:39:00+00:00,Closed,Value 3,Case4351,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 13,2011-07-22 06:47:02+00:00,Assign seriousness,Value 13,Case2827,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 13,2011-07-25 10:38:21+00:00,Take in charge ticket,Value 13,Case2827,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 13,2011-08-25 10:14:19+00:00,Resolve ticket,Value 13,Case2827,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-09-09 10:14:33+00:00,Closed,Value 5,Case2827,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 9,2012-03-01 14:56:30+00:00,Assign seriousness,Value 9,Case794,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 6,2012-03-07 06:32:42+00:00,Take in charge ticket,Value 6,Case794,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 17,2012-03-07 07:15:49+00:00,Resolve ticket,Value 17,Case794,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-04-03 13:00:28+00:00,Closed,Value 5,Case794,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 9,2011-06-24 07:10:25+00:00,Assign seriousness,Value 9,Case1045,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-06-27 10:36:12+00:00,Take in charge ticket,Value 2,Case1045,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-06-27 10:37:30+00:00,Resolve ticket,Value 2,Case1045,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-08-22 07:20:40+00:00,Closed,Value 5,Case1045,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 15,2010-05-26 12:06:56+00:00,Assign seriousness,Value 15,Case3850,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-05-27 09:39:45+00:00,Take in charge ticket,Value 2,Case3850,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-05-28 05:16:23+00:00,Resolve ticket,Value 2,Case3850,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-06-29 12:11:12+00:00,Closed,Value 5,Case3850,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-06-21 04:42:32+00:00,Assign seriousness,Value 8,Case4152,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-06-21 04:42:47+00:00,Assign seriousness,Value 8,Case4152,Variant 4,4,Fluxicon Disco
Take in charge ticket,complete,Value 13,2011-06-23 07:48:23+00:00,Take in charge ticket,Value 13,Case4152,Variant 4,4,Fluxicon Disco
Resolve ticket,complete,Value 13,2011-06-28 10:59:04+00:00,Resolve ticket,Value 13,Case4152,Variant 4,4,Fluxicon Disco
Closed,complete,Value 5,2011-07-22 04:50:39+00:00,Closed,Value 5,Case4152,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-02-09 08:04:23+00:00,Assign seriousness,Value 1,Case4181,Variant 3,3,Fluxicon Disco
Take in charge ticket,complete,Value 6,2012-02-09 08:12:32+00:00,Take in charge ticket,Value 6,Case4181,Variant 3,3,Fluxicon Disco
Wait,complete,Value 6,2012-02-17 06:02:22+00:00,Wait,Value 6,Case4181,Variant 3,3,Fluxicon Disco
Take in charge ticket,complete,Value 6,2012-02-21 14:04:37+00:00,Take in charge ticket,Value 6,Case4181,Variant 3,3,Fluxicon Disco
Resolve ticket,complete,Value 6,2012-02-21 14:10:14+00:00,Resolve ticket,Value 6,Case4181,Variant 3,3,Fluxicon Disco
Closed,complete,Value 5,2012-04-06 12:10:50+00:00,Closed,Value 5,Case4181,Variant 3,3,Fluxicon Disco
Assign seriousness,complete,Value 1,2011-10-07 10:00:53+00:00,Assign seriousness,Value 1,Case2133,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-10-07 10:52:36+00:00,Take in charge ticket,Value 2,Case2133,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-10-07 10:57:43+00:00,Resolve ticket,Value 2,Case2133,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-12-01 12:10:14+00:00,Closed,Value 5,Case2133,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-06-04 07:49:17+00:00,Assign seriousness,Value 1,Case3299,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 1,2012-06-04 07:49:25+00:00,Take in charge ticket,Value 1,Case3299,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 1,2012-06-04 09:36:11+00:00,Resolve ticket,Value 1,Case3299,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-08-02 07:50:28+00:00,Closed,Value 5,Case3299,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2011-12-21 13:24:59+00:00,Assign seriousness,Value 2,Case4271,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2011-12-21 13:25:19+00:00,Take in charge ticket,Value 2,Case4271,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2011-12-21 13:45:11+00:00,Resolve ticket,Value 2,Case4271,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-01-21 13:30:21+00:00,Closed,Value 5,Case4271,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-01-18 07:45:57+00:00,Assign seriousness,Value 1,Case1931,Variant 6,6,Fluxicon Disco
Take in charge ticket,complete,Value 2,2012-01-18 10:10:53+00:00,Take in charge ticket,Value 2,Case1931,Variant 6,6,Fluxicon Disco
Resolve ticket,complete,Value 2,2012-01-18 11:46:38+00:00,Resolve ticket,Value 2,Case1931,Variant 6,6,Fluxicon Disco
Resolve ticket,complete,Value 2,2012-01-18 11:46:38+00:00,Resolve ticket,Value 2,Case1931,Variant 6,6,Fluxicon Disco
Closed,complete,Value 5,2012-02-18 07:51:08+00:00,Closed,Value 5,Case1931,Variant 6,6,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-03-10 13:05:06+00:00,Assign seriousness,Value 8,Case1614,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 8,2011-03-11 07:25:32+00:00,Take in charge ticket,Value 8,Case1614,Variant 1,1,Fluxicon Disco
