concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,org:group,case:concept:name,case:variant,case:variant-index,case:creator
Accepted-In Progress,complete,Carolyn-Org line G3,2010-07-08 09:42:58+00:00,Accepted-In Progress,Carolyn,Org line G3,1-385311756,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-07-08 09:48:38+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-385311756,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Kannan-Org line G3,2010-07-08 11:06:09+00:00,Accepted-In Progress,Kannan,Org line G3,1-385311756,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-07-08 11:06:14+00:00,Accepted-Assigned,Carolyn,Org line G3,1-385311756,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-04 09:38:18+00:00,Accepted-In Progress,Ewa,Org line G3,1-385311756,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-04 09:40:10+00:00,Completed-Closed,Ewa,Org line G3,1-385311756,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Madelaine-Org line A2,2012-02-08 07:40:09+00:00,Accepted-In Progress,Madelaine,Org line A2,1-660648920,Variant 267,267,Fluxicon Disco
Accepted-Wait,complete,Madelaine-Org line A2,2012-02-08 08:14:24+00:00,Accepted-Wait,Madelaine,Org line A2,1-660648920,Variant 267,267,Fluxicon Disco
Queued-Awaiting Assignment,complete,Madelaine-Org line A2,2012-02-08 08:55:29+00:00,Queued-Awaiting Assignment,Madelaine,Org line A2,1-660648920,Variant 267,267,Fluxicon Disco
Accepted-In Progress,complete,Kenneth-Org line A2,2012-02-08 13:39:39+00:00,Accepted-In Progress,Kenneth,Org line A2,1-660648920,Variant 267,267,Fluxicon Disco
Accepted-In Progress,complete,Varun-Org line C,2012-02-29 12:30:59+00:00,Accepted-In Progress,Varun,Org line C,1-660648920,Variant 267,267,Fluxicon Disco
Queued-Awaiting Assignment,complete,Madelaine-Org line A2,2012-02-29 12:33:53+00:00,Queued-Awaiting Assignment,Madelaine,Org line A2,1-660648920,Variant 267,267,Fluxicon Disco
Accepted-In Progress,complete,Kenneth-Org line A2,2012-02-29 12:41:09+00:00,Accepted-In Progress,Kenneth,Org line A2,1-660648920,Variant 267,267,Fluxicon Disco
Accepted-Wait,complete,Kenneth-Org line A2,2012-04-04 13:41:44+00:00,Accepted-Wait,Kenneth,Org line A2,1-660648920,Variant 267,267,Fluxicon Disco
Completed-Closed,complete,Kenneth-Org line A2,2012-04-25 12:05:42+00:00,Completed-Closed,Kenneth,Org line A2,1-660648920,Variant 267,267,Fluxicon Disco
Accepted-In Progress,complete,Johnny-Org line C,2012-01-03 13:53:21+00:00,Accepted-In Progress,Johnny,Org line C,1-633092732,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Johnny-Org line C,2012-01-19 06:35:48+00:00,Accepted-In Progress,Johnny,Org line C,1-633092732,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Johnny-Org line C,2012-01-19 06:39:52+00:00,Completed-Closed,Johnny,Org line C,1-633092732,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Nicolas-Org line C,2011-06-30 12:08:27+00:00,Accepted-In Progress,Nicolas,Org line C,1-537984625,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Nicolas-Org line C,2011-06-30 12:49:37+00:00,Queued-Awaiting Assignment,Nicolas,Org line C,1-537984625,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Martin-Org line C,2012-05-25 12:44:54+00:00,Accepted-In Progress,Martin,Org line C,1-537984625,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Martin-Org line C,2012-05-25 12:46:50+00:00,Completed-Closed,Martin,Org line C,1-537984625,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Ramith-Org line C,2012-01-17 11:57:57+00:00,Accepted-In Progress,Ramith,Org line C,1-643445547,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ramith-Org line C,2012-01-17 12:22:25+00:00,Completed-Closed,Ramith,Org line C,1-643445547,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Anders-Org line A2,2010-01-27 12:58:09+00:00,Accepted-In Progress,Anders,Org line A2,1-349857482,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Anders-Org line A2,2012-02-29 11:20:13+00:00,Completed-Closed,Anders,Org line A2,1-349857482,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-04-27 14:40:49+00:00,Accepted-In Progress,Carolyn,Org line G3,1-369989135,Variant 48,48,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-04-27 14:43:59+00:00,Accepted-In Progress,Carolyn,Org line G3,1-369989135,Variant 48,48,Fluxicon Disco
Accepted-In Progress,complete,Naga-Org line G3,2010-04-29 13:15:14+00:00,Accepted-In Progress,Naga,Org line G3,1-369989135,Variant 48,48,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-04-29 13:18:16+00:00,Accepted-Assigned,Carolyn,Org line G3,1-369989135,Variant 48,48,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-02 20:53:09+00:00,Accepted-In Progress,Ewa,Org line G3,1-369989135,Variant 48,48,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-02 21:08:20+00:00,Completed-Closed,Ewa,Org line G3,1-369989135,Variant 48,48,Fluxicon Disco
Accepted-In Progress,complete,Sathish-Org line C,2012-01-04 09:39:31+00:00,Accepted-In Progress,Sathish,Org line C,1-634447637,Variant 7,7,Fluxicon Disco
Accepted-Wait,complete,Sathish-Org line C,2012-01-04 09:42:06+00:00,Accepted-Wait,Sathish,Org line C,1-634447637,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Sathish-Org line C,2012-01-30 04:05:16+00:00,Accepted-In Progress,Sathish,Org line C,1-634447637,Variant 7,7,Fluxicon Disco
Completed-Closed,complete,Sathish-Org line C,2012-01-30 04:05:38+00:00,Completed-Closed,Sathish,Org line C,1-634447637,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Guy-Org line A2,2012-02-22 08:34:06+00:00,Accepted-In Progress,Guy,Org line A2,1-686477306,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Guy-Org line A2,2012-03-30 08:42:16+00:00,Accepted-In Progress,Guy,Org line A2,1-686477306,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Guy-Org line A2,2012-03-30 08:43:47+00:00,Completed-Closed,Guy,Org line A2,1-686477306,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Katarina-Org line G4,2011-02-08 15:10:53+00:00,Accepted-In Progress,Katarina,Org line G4,1-489198755,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Katarina-Org line G4,2011-03-21 16:26:55+00:00,Accepted-Wait,Katarina,Org line G4,1-489198755,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Katarina-Org line G4,2012-02-14 15:45:26+00:00,Completed-Closed,Katarina,Org line G4,1-489198755,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Donna-Org line A2,2012-03-26 12:39:23+00:00,Accepted-In Progress,Donna,Org line A2,1-702501021,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Donna-Org line A2,2012-04-02 09:55:28+00:00,Queued-Awaiting Assignment,Donna,Org line A2,1-702501021,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Nancy-Org line A2,2012-04-02 13:37:21+00:00,Accepted-In Progress,Nancy,Org line A2,1-702501021,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Nancy-Org line A2,2012-04-02 13:45:27+00:00,Completed-Closed,Nancy,Org line A2,1-702501021,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Nigel-Org line C,2011-04-11 19:53:58+00:00,Accepted-In Progress,Nigel,Org line C,1-515617964,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Nigel-Org line C,2011-04-14 15:44:52+00:00,Queued-Awaiting Assignment,Nigel,Org line C,1-515617964,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Nigel-Org line C,2012-02-15 10:58:47+00:00,Accepted-In Progress,Nigel,Org line C,1-515617964,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Nigel-Org line C,2012-02-15 11:01:31+00:00,Completed-Closed,Nigel,Org line C,1-515617964,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Brijesh-Org line C,2011-02-02 08:17:45+00:00,Accepted-In Progress,Brijesh,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Queued-Awaiting Assignment,complete,Brijesh-Org line C,2011-02-02 11:55:48+00:00,Queued-Awaiting Assignment,Brijesh,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Queued-Awaiting Assignment,complete,Martin-Org line C,2011-02-03 09:33:47+00:00,Queued-Awaiting Assignment,Martin,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Accepted-In Progress,complete,Joachim-Org line C,2011-02-04 12:27:44+00:00,Accepted-In Progress,Joachim,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Accepted-In Progress,complete,Joachim-Org line C,2011-02-04 12:27:55+00:00,Accepted-In Progress,Joachim,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Accepted-Wait,complete,Joachim-Org line C,2011-02-04 12:34:33+00:00,Accepted-Wait,Joachim,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Queued-Awaiting Assignment,complete,Olivier-Org line C,2011-09-13 15:53:00+00:00,Queued-Awaiting Assignment,Olivier,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Accepted-In Progress,complete,Cyril-Org line C,2011-09-15 08:13:21+00:00,Accepted-In Progress,Cyril,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Queued-Awaiting Assignment,complete,Jonas-Org line C,2011-09-15 08:16:36+00:00,Queued-Awaiting Assignment,Jonas,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Queued-Awaiting Assignment,complete,Olivier-Org line C,2011-09-16 10:27:06+00:00,Queued-Awaiting Assignment,Olivier,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Accepted-Assigned,complete,Bruno-Org line C,2011-11-23 16:44:01+00:00,Accepted-Assigned,Bruno,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Accepted-Assigned,complete,Robert-Org line C,2011-11-28 12:20:25+00:00,Accepted-Assigned,Robert,Org line C,1-473084325,Variant 147,147,Fluxicon Disco
Queued-Awaiting Assignment,complete,Britt-Org line A2,2012-02-02 15:48:22+00:00,Queued-Awaiting Assignment,Britt,Org line A2,1-473084325,Variant 147,147,Fluxicon Disco
Accepted-In Progress,complete,Britt-Org line A2,2012-02-06 09:26:00+00:00,Accepted-In Progress,Britt,Org line A2,1-473084325,Variant 147,147,Fluxicon Disco
Accepted-Wait,complete,Britt-Org line A2,2012-02-06 11:32:58+00:00,Accepted-Wait,Britt,Org line A2,1-473084325,Variant 147,147,Fluxicon Disco
Completed-Closed,complete,Britt-Org line A2,2012-03-14 12:52:06+00:00,Completed-Closed,Britt,Org line A2,1-473084325,Variant 147,147,Fluxicon Disco
Accepted-In Progress,complete,Erik-Org line G4,2012-02-14 09:46:27+00:00,Accepted-In Progress,Erik,Org line G4,1-673151866,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Erik-Org line G4,2012-02-14 14:19:06+00:00,Completed-Closed,Erik,Org line G4,1-673151866,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Linda-Org line C,2011-08-09 07:34:14+00:00,Accepted-In Progress,Linda,Org line C,1-546272906,Variant 38,38,Fluxicon Disco
Accepted-Wait,complete,Linda-Org line C,2011-08-09 07:40:29+00:00,Accepted-Wait,Linda,Org line C,1-546272906,Variant 38,38,Fluxicon Disco
Accepted-Assigned,complete,Linda-Org line C,2011-08-16 09:46:16+00:00,Accepted-Assigned,Linda,Org line C,1-546272906,Variant 38,38,Fluxicon Disco
Accepted-Wait,complete,Linda-Org line C,2011-08-30 12:43:01+00:00,Accepted-Wait,Linda,Org line C,1-546272906,Variant 38,38,Fluxicon Disco
Completed-Closed,complete,Linda-Org line C,2012-01-10 07:55:39+00:00,Completed-Closed,Linda,Org line C,1-546272906,Variant 38,38,Fluxicon Disco
Accepted-In Progress,complete,Tomasz-Org line A2,2012-04-02 09:07:49+00:00,Accepted-In Progress,Tomasz,Org line A2,1-706959641,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Tomasz-Org line A2,2012-05-23 16:37:42+00:00,Accepted-In Progress,Tomasz,Org line A2,1-706959641,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Tomasz-Org line A2,2012-05-23 16:38:37+00:00,Completed-Closed,Tomasz,Org line A2,1-706959641,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Håkan-Org line A2,2011-05-26 15:05:47+00:00,Accepted-In Progress,Håkan,Org line A2,1-529091311,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Håkan-Org line A2,2012-04-04 15:06:03+00:00,Accepted-In Progress,Håkan,Org line A2,1-529091311,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Håkan-Org line A2,2012-04-04 15:06:48+00:00,Completed-Closed,Håkan,Org line A2,1-529091311,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Samira-Org line G4,2011-10-11 13:38:52+00:00,Accepted-In Progress,Samira,Org line G4,1-584776062,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Samira-Org line G4,2011-12-09 09:26:24+00:00,Accepted-Wait,Samira,Org line G4,1-584776062,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Samira-Org line G4,2012-02-15 16:20:49+00:00,Completed-Closed,Samira,Org line G4,1-584776062,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Dawid-Org line A2,2011-11-23 14:01:03+00:00,Accepted-In Progress,Dawid,Org line A2,1-615224713,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Dawid-Org line A2,2012-01-13 12:26:02+00:00,Completed-Closed,Dawid,Org line A2,1-615224713,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Håkan-Org line C,2012-02-02 13:53:09+00:00,Accepted-In Progress,Håkan,Org line C,1-658022616,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Håkan-Org line C,2012-03-13 07:19:47+00:00,Completed-Closed,Håkan,Org line C,1-658022616,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-06-20 17:30:19+00:00,Accepted-In Progress,Carolyn,Org line G3,1-535233659,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-06-20 17:31:39+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-535233659,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-06-21 06:33:31+00:00,Accepted-In Progress,Santhosh,Org line G3,1-535233659,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-06-21 06:38:54+00:00,Accepted-Assigned,Carolyn,Org line G3,1-535233659,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 12:09:17+00:00,Accepted-In Progress,Ewa,Org line G3,1-535233659,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 12:10:08+00:00,Completed-Closed,Ewa,Org line G3,1-535233659,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Maria-Org line C,2011-09-28 09:39:49+00:00,Accepted-In Progress,Maria,Org line C,1-578598959,Variant 21,21,Fluxicon Disco
Accepted-In Progress,complete,Maria-Org line C,2011-09-28 09:41:01+00:00,Accepted-In Progress,Maria,Org line C,1-578598959,Variant 21,21,Fluxicon Disco
Queued-Awaiting Assignment,complete,Maria-Org line C,2011-09-28 09:45:41+00:00,Queued-Awaiting Assignment,Maria,Org line C,1-578598959,Variant 21,21,Fluxicon Disco
Accepted-In Progress,complete,Pai-Org line C,2011-10-05 06:42:47+00:00,Accepted-In Progress,Pai,Org line C,1-578598959,Variant 21,21,Fluxicon Disco
Completed-Closed,complete,Pai-Org line C,2012-01-10 07:54:20+00:00,Completed-Closed,Pai,Org line C,1-578598959,Variant 21,21,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-05-11 13:11:58+00:00,Accepted-In Progress,Carolyn,Org line G3,1-372858362,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-05-11 13:13:34+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-372858362,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Naga-Org line G3,2010-05-11 19:18:30+00:00,Accepted-In Progress,Naga,Org line G3,1-372858362,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-05-11 19:25:17+00:00,Accepted-Assigned,Carolyn,Org line G3,1-372858362,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-31 09:01:59+00:00,Accepted-In Progress,Ewa,Org line G3,1-372858362,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-31 09:06:41+00:00,Completed-Closed,Ewa,Org line G3,1-372858362,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Jolanta-Org line A2,2012-03-09 08:34:54+00:00,Accepted-In Progress,Jolanta,Org line A2,1-695258011,Variant 27,27,Fluxicon Disco
Accepted-Wait,complete,Jolanta-Org line A2,2012-03-12 12:24:43+00:00,Accepted-Wait,Jolanta,Org line A2,1-695258011,Variant 27,27,Fluxicon Disco
Accepted-Wait,complete,Jolanta-Org line A2,2012-03-12 13:09:24+00:00,Accepted-Wait,Jolanta,Org line A2,1-695258011,Variant 27,27,Fluxicon Disco
Accepted-In Progress,complete,Jolanta-Org line A2,2012-04-06 08:02:00+00:00,Accepted-In Progress,Jolanta,Org line A2,1-695258011,Variant 27,27,Fluxicon Disco
Completed-Closed,complete,Jolanta-Org line A2,2012-05-23 12:02:57+00:00,Completed-Closed,Jolanta,Org line A2,1-695258011,Variant 27,27,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-05-13 10:56:33+00:00,Accepted-In Progress,Carolyn,Org line G3,1-373268674,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-05-13 11:05:42+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-373268674,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Naga-Org line G3,2010-05-13 23:43:08+00:00,Accepted-In Progress,Naga,Org line G3,1-373268674,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-05-13 23:50:11+00:00,Accepted-Assigned,Carolyn,Org line G3,1-373268674,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-03 06:51:00+00:00,Accepted-In Progress,Ewa,Org line G3,1-373268674,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-03 06:52:14+00:00,Completed-Closed,Ewa,Org line G3,1-373268674,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Daniel-Org line C,2012-01-09 12:33:58+00:00,Accepted-In Progress,Daniel,Org line C,1-637142120,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Daniel-Org line C,2012-01-09 12:38:43+00:00,Completed-Closed,Daniel,Org line C,1-637142120,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Peter-Org line G4,2011-06-22 09:29:01+00:00,Accepted-In Progress,Peter,Org line G4,1-535813203,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Peter-Org line G4,2012-01-04 14:41:01+00:00,Completed-Closed,Peter,Org line G4,1-535813203,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Björn-Org line C,2012-02-29 12:38:34+00:00,Accepted-In Progress,Björn,Org line C,1-690352118,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Björn-Org line C,2012-04-02 08:51:23+00:00,Completed-Closed,Björn,Org line C,1-690352118,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-07-06 07:43:18+00:00,Accepted-In Progress,Carolyn,Org line G3,1-384757914,Variant 120,120,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-07-06 07:49:13+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-384757914,Variant 120,120,Fluxicon Disco
Accepted-In Progress,complete,Naga-Org line G3,2010-07-06 18:36:46+00:00,Accepted-In Progress,Naga,Org line G3,1-384757914,Variant 120,120,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-07-06 18:42:20+00:00,Accepted-Assigned,Carolyn,Org line G3,1-384757914,Variant 120,120,Fluxicon Disco
Accepted-In Progress,complete,Renee-Org line G3,2011-03-16 16:45:07+00:00,Accepted-In Progress,Renee,Org line G3,1-384757914,Variant 120,120,Fluxicon Disco
Completed-Closed,complete,Renee-Org line G3,2011-03-16 16:45:08+00:00,Completed-Closed,Renee,Org line G3,1-384757914,Variant 120,120,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-04-07 11:41:01+00:00,Accepted-In Progress,Santhosh,Org line G3,1-384757914,Variant 120,120,Fluxicon Disco
Queued-Awaiting Assignment,complete,Hannes-Org line A2,2011-04-07 11:43:44+00:00,Queued-Awaiting Assignment,Hannes,Org line A2,1-384757914,Variant 120,120,Fluxicon Disco
Accepted-Assigned,complete,Y-Org line A2,2011-04-08 10:08:24+00:00,Accepted-Assigned,Y,Org line A2,1-384757914,Variant 120,120,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-08 10:26:56+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-384757914,Variant 120,120,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line A2,2011-04-08 13:19:05+00:00,Accepted-In Progress,Santhosh,Org line A2,1-384757914,Variant 120,120,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line A2,2011-04-08 13:19:54+00:00,Accepted-Assigned,Carolyn,Org line A2,1-384757914,Variant 120,120,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line A2,2012-02-04 09:31:58+00:00,Accepted-In Progress,Ewa,Org line A2,1-384757914,Variant 120,120,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line A2,2012-02-04 09:37:38+00:00,Completed-Closed,Ewa,Org line A2,1-384757914,Variant 120,120,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-09-29 15:45:39+00:00,Accepted-In Progress,Carolyn,Org line G3,1-579211624,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-09-29 15:55:24+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-579211624,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Kannan-Org line G3,2011-09-29 17:58:45+00:00,Accepted-In Progress,Kannan,Org line G3,1-579211624,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-09-29 17:58:55+00:00,Accepted-Assigned,Carolyn,Org line G3,1-579211624,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 12:57:31+00:00,Accepted-In Progress,Ewa,Org line G3,1-579211624,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 13:17:14+00:00,Completed-Closed,Ewa,Org line G3,1-579211624,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Eric-Org line G4,2011-01-12 15:59:25+00:00,Accepted-In Progress,Eric,Org line G4,1-438526021,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Eric-Org line G4,2011-05-04 06:20:36+00:00,Accepted-Wait,Eric,Org line G4,1-438526021,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Eric-Org line G4,2012-01-09 09:16:26+00:00,Completed-Closed,Eric,Org line G4,1-438526021,Variant 3,3,Fluxicon Disco
Queued-Awaiting Assignment,complete,Malin-Org line C,2012-03-13 11:43:31+00:00,Queued-Awaiting Assignment,Malin,Org line C,1-696714411,Variant 297,297,Fluxicon Disco
Queued-Awaiting Assignment,complete,Preeti-Org line C,2012-03-13 11:48:03+00:00,Queued-Awaiting Assignment,Preeti,Org line C,1-696714411,Variant 297,297,Fluxicon Disco
Accepted-In Progress,complete,Preeti-Org line C,2012-03-16 08:29:29+00:00,Accepted-In Progress,Preeti,Org line C,1-696714411,Variant 297,297,Fluxicon Disco
Completed-Closed,complete,Preeti-Org line C,2012-04-27 05:25:40+00:00,Completed-Closed,Preeti,Org line C,1-696714411,Variant 297,297,Fluxicon Disco
Accepted-In Progress,complete,Robert-Org line C,2011-10-31 16:54:07+00:00,Accepted-In Progress,Robert,Org line C,1-599074651,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Robert-Org line C,2011-10-31 16:56:44+00:00,Accepted-In Progress,Robert,Org line C,1-599074651,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Robert-Org line C,2012-01-04 13:48:41+00:00,Completed-Closed,Robert,Org line C,1-599074651,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Krzysztof-Org line A2,2012-02-15 10:57:26+00:00,Accepted-In Progress,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-Assigned,complete,Krzysztof-Org line A2,2012-02-15 11:04:34+00:00,Accepted-Assigned,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-In Progress,complete,Krzysztof-Org line A2,2012-02-16 11:15:34+00:00,Accepted-In Progress,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-Wait,complete,Krzysztof-Org line A2,2012-03-28 10:23:58+00:00,Accepted-Wait,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-In Progress,complete,Krzysztof-Org line A2,2012-04-11 11:49:27+00:00,Accepted-In Progress,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-Wait,complete,Krzysztof-Org line A2,2012-04-11 14:10:11+00:00,Accepted-Wait,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Completed-Closed,complete,Krzysztof-Org line A2,2012-04-27 08:37:00+00:00,Completed-Closed,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-In Progress,complete,Kenny-Org line A2,2009-12-16 19:47:26+00:00,Accepted-In Progress,Kenny,Org line A2,1-339889001,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Kenny-Org line A2,2012-03-14 12:04:51+00:00,Accepted-In Progress,Kenny,Org line A2,1-339889001,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Kenny-Org line A2,2012-03-14 12:07:29+00:00,Completed-Closed,Kenny,Org line A2,1-339889001,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-10-14 14:01:51+00:00,Accepted-In Progress,Carolyn,Org line G3,1-409247778,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-10-14 14:05:01+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-409247778,Variant 2,2,Fluxicon Disco
