event,lifecycle:transition,org:resource,completeTime,Activity,Resource,org:group,case,case:variant,case:variant-index,case:creator
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-12 00:25:22+03:00,Accepted-Assigned,Carolyn,Org line G3,1-501925116,Variant 151,151,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 14:59:43+02:00,Accepted-In Progress,Ewa,Org line G3,1-501925116,Variant 151,151,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 15:01:46+02:00,Completed-Closed,Ewa,Org line G3,1-501925116,Variant 151,151,Fluxicon Disco
Accepted-In Progress,complete,Eric-Org line G4,2011-02-23 11:17:42+02:00,Accepted-In Progress,Eric,Org line G4,1-502353485,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Eric-Org line G4,2011-05-04 09:18:17+03:00,Accepted-Wait,Eric,Org line G4,1-502353485,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Eric-Org line G4,2012-03-07 13:28:01+02:00,Completed-Closed,Eric,Org line G4,1-502353485,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Reine-Org line G4,2011-02-23 16:35:15+02:00,Accepted-In Progress,Reine,Org line G4,1-502697671,Variant 16,16,Fluxicon Disco
Accepted-In Progress,complete,Reine-Org line G4,2011-02-27 13:11:47+02:00,Accepted-In Progress,Reine,Org line G4,1-502697671,Variant 16,16,Fluxicon Disco
Accepted-Wait,complete,Reine-Org line G4,2011-12-08 16:45:33+02:00,Accepted-Wait,Reine,Org line G4,1-502697671,Variant 16,16,Fluxicon Disco
Completed-Closed,complete,Reine-Org line G4,2012-02-01 17:46:29+02:00,Completed-Closed,Reine,Org line G4,1-502697671,Variant 16,16,Fluxicon Disco
Accepted-In Progress,complete,Joakim-Org line G4,2011-02-23 18:45:04+02:00,Accepted-In Progress,Joakim,Org line G4,1-502769178,Variant 152,152,Fluxicon Disco
Accepted-In Progress,complete,Joakim-Org line G4,2011-02-23 18:52:29+02:00,Accepted-In Progress,Joakim,Org line G4,1-502769178,Variant 152,152,Fluxicon Disco
Accepted-Wait,complete,Joakim-Org line G4,2011-05-04 11:05:50+03:00,Accepted-Wait,Joakim,Org line G4,1-502769178,Variant 152,152,Fluxicon Disco
Queued-Awaiting Assignment,complete,Joakim-Org line G4,2011-09-05 11:10:57+03:00,Queued-Awaiting Assignment,Joakim,Org line G4,1-502769178,Variant 152,152,Fluxicon Disco
Accepted-Assigned,complete,Mikael-Org line G4,2011-10-20 10:58:13+03:00,Accepted-Assigned,Mikael,Org line G4,1-502769178,Variant 152,152,Fluxicon Disco
Accepted-Wait,complete,Mikael-Org line G4,2012-01-08 03:14:30+02:00,Accepted-Wait,Mikael,Org line G4,1-502769178,Variant 152,152,Fluxicon Disco
Completed-Closed,complete,Mikael-Org line G4,2012-01-25 12:20:10+02:00,Completed-Closed,Mikael,Org line G4,1-502769178,Variant 152,152,Fluxicon Disco
Accepted-In Progress,complete,Eric-Org line G4,2011-02-25 20:01:03+02:00,Accepted-In Progress,Eric,Org line G4,1-504048859,Variant 24,24,Fluxicon Disco
Accepted-Wait,complete,Eric-Org line G4,2011-05-04 09:21:13+03:00,Accepted-Wait,Eric,Org line G4,1-504048859,Variant 24,24,Fluxicon Disco
Accepted-Wait,complete,Eric-Org line G4,2012-01-09 11:20:17+02:00,Accepted-Wait,Eric,Org line G4,1-504048859,Variant 24,24,Fluxicon Disco
Completed-Closed,complete,Eric-Org line G4,2012-01-09 11:20:18+02:00,Completed-Closed,Eric,Org line G4,1-504048859,Variant 24,24,Fluxicon Disco
Accepted-In Progress,complete,Somil-Org line A2,2011-02-28 16:04:04+02:00,Accepted-In Progress,Somil,Org line A2,1-504498907,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Somil-Org line A2,2012-01-03 14:45:32+02:00,Completed-Closed,Somil,Org line A2,1-504498907,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Veronique-Org line A2,2011-03-02 16:17:25+02:00,Accepted-In Progress,Veronique,Org line A2,1-505194002,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Veronique-Org line A2,2012-01-12 12:42:55+02:00,Completed-Closed,Veronique,Org line A2,1-505194002,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Veronique-Org line A2,2011-03-02 16:18:00+02:00,Accepted-In Progress,Veronique,Org line A2,1-505194015,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Veronique-Org line A2,2012-01-12 12:43:58+02:00,Completed-Closed,Veronique,Org line A2,1-505194015,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-03-03 11:34:30+02:00,Accepted-In Progress,Carolyn,Org line G3,1-505416663,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-03-03 11:39:32+02:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-505416663,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-03-03 11:49:55+02:00,Accepted-In Progress,Santhosh,Org line G3,1-505416663,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-03-03 11:50:37+02:00,Accepted-Assigned,Carolyn,Org line G3,1-505416663,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-29 17:28:01+02:00,Accepted-In Progress,Ewa,Org line G3,1-505416663,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-29 17:29:35+02:00,Completed-Closed,Ewa,Org line G3,1-505416663,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-03-03 13:21:48+02:00,Accepted-In Progress,Carolyn,Org line G3,1-505443989,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-03-03 13:25:34+02:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-505443989,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-03-03 13:29:49+02:00,Accepted-In Progress,Santhosh,Org line G3,1-505443989,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-03-03 13:31:27+02:00,Accepted-Assigned,Carolyn,Org line G3,1-505443989,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 14:07:26+02:00,Accepted-In Progress,Ewa,Org line G3,1-505443989,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 14:08:04+02:00,Completed-Closed,Ewa,Org line G3,1-505443989,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Per-Org line G4,2011-03-07 13:36:20+02:00,Accepted-In Progress,Per,Org line G4,1-506092586,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Per-Org line G4,2012-01-26 12:25:15+02:00,Completed-Closed,Per,Org line G4,1-506092586,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Håkan-Org line G4,2011-03-07 13:38:53+02:00,Accepted-In Progress,Håkan,Org line G4,1-506108491,Variant 153,153,Fluxicon Disco
Accepted-Wait,complete,Håkan-Org line G4,2011-03-10 10:18:14+02:00,Accepted-Wait,Håkan,Org line G4,1-506108491,Variant 153,153,Fluxicon Disco
Accepted-Assigned,complete,Håkan-Org line G4,2012-01-10 16:16:51+02:00,Accepted-Assigned,Håkan,Org line G4,1-506108491,Variant 153,153,Fluxicon Disco
Completed-Closed,complete,Håkan-Org line G4,2012-01-23 12:15:22+02:00,Completed-Closed,Håkan,Org line G4,1-506108491,Variant 153,153,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-03-07 22:14:33+02:00,Accepted-In Progress,Carolyn,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-03-07 22:38:09+02:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-03-18 11:57:59+02:00,Accepted-In Progress,Padmanabha,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-03-18 11:58:09+02:00,Accepted-Assigned,Carolyn,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 13:57:11+02:00,Accepted-In Progress,Ewa,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 13:57:18+02:00,Completed-Closed,Ewa,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Accepted-Wait,complete,Andrew-Org line A2,2011-03-10 11:36:06+02:00,Accepted-Wait,Andrew,Org line A2,1-506866218,Variant 33,33,Fluxicon Disco
Accepted-In Progress,complete,Andrew-Org line A2,2012-05-04 18:02:29+03:00,Accepted-In Progress,Andrew,Org line A2,1-506866218,Variant 33,33,Fluxicon Disco
Completed-Closed,complete,Andrew-Org line A2,2012-05-04 18:03:29+03:00,Completed-Closed,Andrew,Org line A2,1-506866218,Variant 33,33,Fluxicon Disco
Accepted-In Progress,complete,Katarina-Org line G4,2011-03-14 16:04:30+02:00,Accepted-In Progress,Katarina,Org line G4,1-507679771,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Katarina-Org line G4,2012-02-01 17:12:52+02:00,Completed-Closed,Katarina,Org line G4,1-507679771,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-03-15 07:32:07+02:00,Accepted-In Progress,Carolyn,Org line G3,1-507774379,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-03-15 07:37:19+02:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-507774379,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-03-15 12:41:56+02:00,Accepted-In Progress,Santhosh,Org line G3,1-507774379,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-03-15 12:42:27+02:00,Accepted-Assigned,Carolyn,Org line G3,1-507774379,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-02 23:26:14+02:00,Accepted-In Progress,Ewa,Org line G3,1-507774379,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-02 23:28:26+02:00,Completed-Closed,Ewa,Org line G3,1-507774379,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Kymaria-Org line C,2011-03-15 21:45:17+02:00,Accepted-In Progress,Kymaria,Org line C,1-508044897,Variant 154,154,Fluxicon Disco
Queued-Awaiting Assignment,complete,Kymaria-Org line C,2011-03-18 17:20:08+02:00,Queued-Awaiting Assignment,Kymaria,Org line C,1-508044897,Variant 154,154,Fluxicon Disco
Queued-Awaiting Assignment,complete,Per-Erik-Org line C,2011-03-24 19:20:41+02:00,Queued-Awaiting Assignment,Per-Erik,Org line C,1-508044897,Variant 154,154,Fluxicon Disco
Accepted-In Progress,complete,Kymaria-Org line C,2011-03-24 20:28:23+02:00,Accepted-In Progress,Kymaria,Org line C,1-508044897,Variant 154,154,Fluxicon Disco
Accepted-Wait,complete,Kymaria-Org line C,2011-03-24 20:30:00+02:00,Accepted-Wait,Kymaria,Org line C,1-508044897,Variant 154,154,Fluxicon Disco
Queued-Awaiting Assignment,complete,Per-Erik-Org line C,2011-04-06 16:39:36+03:00,Queued-Awaiting Assignment,Per-Erik,Org line C,1-508044897,Variant 154,154,Fluxicon Disco
Accepted-In Progress,complete,Per-Erik-Org line C,2011-04-06 17:15:00+03:00,Accepted-In Progress,Per-Erik,Org line C,1-508044897,Variant 154,154,Fluxicon Disco
Completed-Closed,complete,Per-Erik-Org line C,2012-03-15 14:12:23+02:00,Completed-Closed,Per-Erik,Org line C,1-508044897,Variant 154,154,Fluxicon Disco
Accepted-In Progress,complete,Lena-Org line A2,2011-03-17 12:59:36+02:00,Accepted-In Progress,Lena,Org line A2,1-508462323,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Lena-Org line A2,2012-03-20 17:19:29+02:00,Completed-Closed,Lena,Org line A2,1-508462323,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Veronique-Org line A2,2011-03-18 15:50:57+02:00,Accepted-In Progress,Veronique,Org line A2,1-508825032,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Veronique-Org line A2,2012-01-12 12:47:22+02:00,Completed-Closed,Veronique,Org line A2,1-508825032,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Marie-Org line V2,2011-03-23 17:00:18+02:00,Accepted-In Progress,Marie,Org line V2,1-509915742,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Marie-Org line V2,2012-02-27 16:29:22+02:00,Completed-Closed,Marie,Org line V2,1-509915742,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-03-23 17:11:24+02:00,Accepted-In Progress,Carolyn,Org line G3,1-509912273,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-03-23 17:41:02+02:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-509912273,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-03-23 23:30:06+02:00,Accepted-In Progress,Padmanabha,Org line G3,1-509912273,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-03-23 23:30:35+02:00,Accepted-Assigned,Carolyn,Org line G3,1-509912273,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 13:53:21+02:00,Accepted-In Progress,Ewa,Org line G3,1-509912273,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 13:53:23+02:00,Completed-Closed,Ewa,Org line G3,1-509912273,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line G4,2011-03-23 17:42:24+02:00,Accepted-In Progress,Mikael,Org line G4,1-509892697,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Mikael-Org line G4,2011-04-07 01:13:29+03:00,Accepted-Wait,Mikael,Org line G4,1-509892697,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Mikael-Org line G4,2012-01-23 18:30:27+02:00,Completed-Closed,Mikael,Org line G4,1-509892697,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Gustav-Org line G4,2011-03-24 15:03:32+02:00,Accepted-In Progress,Gustav,Org line G4,1-510142147,Variant 155,155,Fluxicon Disco
Accepted-In Progress,complete,Gustav-Org line G4,2011-08-26 16:28:34+03:00,Accepted-In Progress,Gustav,Org line G4,1-510142147,Variant 155,155,Fluxicon Disco
Accepted-Assigned,complete,David-Org line G4,2012-01-30 14:39:42+02:00,Accepted-Assigned,David,Org line G4,1-510142147,Variant 155,155,Fluxicon Disco
Accepted-Assigned,complete,Gustav-Org line G4,2012-01-31 10:44:48+02:00,Accepted-Assigned,Gustav,Org line G4,1-510142147,Variant 155,155,Fluxicon Disco
Accepted-In Progress,complete,David-Org line G4,2012-01-31 10:45:06+02:00,Accepted-In Progress,David,Org line G4,1-510142147,Variant 155,155,Fluxicon Disco
Completed-Closed,complete,David-Org line G4,2012-01-31 10:45:09+02:00,Completed-Closed,David,Org line G4,1-510142147,Variant 155,155,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2011-03-25 13:59:02+02:00,Accepted-In Progress,James,Org line V11,1-510423612,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2012-04-24 16:35:07+03:00,Accepted-In Progress,James,Org line V11,1-510423612,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,James-Org line V11,2012-04-24 16:35:09+03:00,Completed-Closed,James,Org line V11,1-510423612,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Timothy-Org line A2,2011-03-25 14:21:36+02:00,Accepted-In Progress,Timothy,Org line A2,1-510399424,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Timothy-Org line A2,2012-02-15 12:41:23+02:00,Completed-Closed,Timothy,Org line A2,1-510399424,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2011-03-31 13:47:33+03:00,Accepted-In Progress,James,Org line V11,1-511755003,Variant 7,7,Fluxicon Disco
Accepted-Wait,complete,James-Org line V11,2011-03-31 13:48:29+03:00,Accepted-Wait,James,Org line V11,1-511755003,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2012-04-24 16:11:52+03:00,Accepted-In Progress,James,Org line V11,1-511755003,Variant 7,7,Fluxicon Disco
Completed-Closed,complete,James-Org line V11,2012-04-24 16:13:25+03:00,Completed-Closed,James,Org line V11,1-511755003,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-03-31 14:51:15+03:00,Accepted-In Progress,Carolyn,Org line G3,1-511787661,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-03-31 14:52:58+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-511787661,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-03-31 16:35:19+03:00,Accepted-In Progress,Santhosh,Org line G3,1-511787661,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-03-31 16:36:46+03:00,Accepted-Assigned,Carolyn,Org line G3,1-511787661,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-06 22:18:11+02:00,Accepted-In Progress,Ewa,Org line G3,1-511787661,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-06 22:19:44+02:00,Completed-Closed,Ewa,Org line G3,1-511787661,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Stephane-Org line A2,2011-04-04 13:41:59+03:00,Accepted-In Progress,Stephane,Org line A2,1-512654811,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Stephane-Org line A2,2011-04-04 13:57:11+03:00,Queued-Awaiting Assignment,Stephane,Org line A2,1-512654811,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Stephane-Org line A2,2012-04-24 10:44:35+03:00,Accepted-In Progress,Stephane,Org line A2,1-512654811,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Stephane-Org line A2,2012-04-24 10:46:08+03:00,Completed-Closed,Stephane,Org line A2,1-512654811,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Ian-Org line A2,2011-04-04 13:48:35+03:00,Accepted-In Progress,Ian,Org line A2,1-512617571,Variant 73,73,Fluxicon Disco
Accepted-Assigned,complete,Ian-Org line A2,2011-04-04 13:49:23+03:00,Accepted-Assigned,Ian,Org line A2,1-512617571,Variant 73,73,Fluxicon Disco
Accepted-Assigned,complete,Andrew-Org line A2,2011-08-18 15:05:34+03:00,Accepted-Assigned,Andrew,Org line A2,1-512617571,Variant 73,73,Fluxicon Disco
Accepted-In Progress,complete,Andrew-Org line A2,2011-08-19 17:27:15+03:00,Accepted-In Progress,Andrew,Org line A2,1-512617571,Variant 73,73,Fluxicon Disco
Accepted-Wait,complete,Andrew-Org line A2,2011-11-01 15:29:18+02:00,Accepted-Wait,Andrew,Org line A2,1-512617571,Variant 73,73,Fluxicon Disco
Completed-Closed,complete,Andrew-Org line A2,2012-02-15 13:12:58+02:00,Completed-Closed,Andrew,Org line A2,1-512617571,Variant 73,73,Fluxicon Disco
Accepted-In Progress,complete,Roland-Org line G4,2011-04-05 09:39:04+03:00,Accepted-In Progress,Roland,Org line G4,1-513031774,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Roland-Org line G4,2012-03-13 16:47:40+02:00,Completed-Closed,Roland,Org line G4,1-513031774,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-04-05 11:51:29+03:00,Accepted-In Progress,Carolyn,Org line G3,1-513032417,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-05 11:57:11+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-513032417,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-04-05 12:55:16+03:00,Accepted-In Progress,Santhosh,Org line G3,1-513032417,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-05 12:56:25+03:00,Accepted-Assigned,Carolyn,Org line G3,1-513032417,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-06 22:34:32+02:00,Accepted-In Progress,Ewa,Org line G3,1-513032417,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-06 22:35:30+02:00,Completed-Closed,Ewa,Org line G3,1-513032417,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-04-05 14:38:03+03:00,Accepted-In Progress,Carolyn,Org line G3,1-513135755,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-05 14:41:43+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-513135755,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-04-05 14:44:05+03:00,Accepted-In Progress,Santhosh,Org line G3,1-513135755,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-05 14:47:27+03:00,Accepted-Assigned,Carolyn,Org line G3,1-513135755,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 22:47:07+02:00,Accepted-In Progress,Ewa,Org line G3,1-513135755,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 22:50:05+02:00,Completed-Closed,Ewa,Org line G3,1-513135755,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-04-05 14:43:11+03:00,Accepted-In Progress,Carolyn,Org line G3,1-513180623,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-05 14:49:28+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-513180623,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-04-05 17:59:39+03:00,Accepted-In Progress,Santhosh,Org line G3,1-513180623,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-05 18:01:29+03:00,Accepted-Assigned,Carolyn,Org line G3,1-513180623,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-10 12:01:19+02:00,Accepted-In Progress,Ewa,Org line G3,1-513180623,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-10 13:21:57+02:00,Completed-Closed,Ewa,Org line G3,1-513180623,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2011-04-05 18:54:14+03:00,Accepted-In Progress,James,Org line V11,1-513395204,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2012-04-24 16:14:09+03:00,Accepted-In Progress,James,Org line V11,1-513395204,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,James-Org line V11,2012-04-24 16:14:22+03:00,Completed-Closed,James,Org line V11,1-513395204,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Daniel-Org line A2,2011-04-06 15:15:49+03:00,Accepted-In Progress,Daniel,Org line A2,1-513767190,Variant 10,10,Fluxicon Disco
Accepted-Assigned,complete,Daniel-Org line A2,2012-03-28 14:13:09+03:00,Accepted-Assigned,Daniel,Org line A2,1-513767190,Variant 10,10,Fluxicon Disco
Completed-Closed,complete,Daniel-Org line A2,2012-04-04 10:28:32+03:00,Completed-Closed,Daniel,Org line A2,1-513767190,Variant 10,10,Fluxicon Disco
Accepted-In Progress,complete,Kranthi-Org line A2,2011-04-06 17:21:18+03:00,Accepted-In Progress,Kranthi,Org line A2,1-513864515,Variant 16,16,Fluxicon Disco
Accepted-In Progress,complete,Kranthi-Org line A2,2011-04-06 17:31:54+03:00,Accepted-In Progress,Kranthi,Org line A2,1-513864515,Variant 16,16,Fluxicon Disco
Accepted-Wait,complete,Kranthi-Org line A2,2012-02-08 07:46:59+02:00,Accepted-Wait,Kranthi,Org line A2,1-513864515,Variant 16,16,Fluxicon Disco
Completed-Closed,complete,Kranthi-Org line A2,2012-02-08 07:51:52+02:00,Completed-Closed,Kranthi,Org line A2,1-513864515,Variant 16,16,Fluxicon Disco
Accepted-In Progress,complete,Håkan-Org line A2,2011-04-06 18:53:40+03:00,Accepted-In Progress,Håkan,Org line A2,1-513910403,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Håkan-Org line A2,2012-04-04 17:55:47+03:00,Accepted-In Progress,Håkan,Org line A2,1-513910403,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Håkan-Org line A2,2012-04-04 17:57:36+03:00,Completed-Closed,Håkan,Org line A2,1-513910403,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2011-04-07 14:21:34+03:00,Accepted-In Progress,James,Org line V11,1-514223574,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2012-04-24 16:36:13+03:00,Accepted-In Progress,James,Org line V11,1-514223574,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,James-Org line V11,2012-04-24 16:36:15+03:00,Completed-Closed,James,Org line V11,1-514223574,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2011-04-07 16:10:06+03:00,Accepted-In Progress,James,Org line V11,1-514311011,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2012-04-24 16:15:41+03:00,Accepted-In Progress,James,Org line V11,1-514311011,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,James-Org line V11,2012-04-24 16:15:43+03:00,Completed-Closed,James,Org line V11,1-514311011,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line C,2011-04-08 12:57:43+03:00,Accepted-In Progress,Mikael,Org line C,1-514618724,Variant 7,7,Fluxicon Disco
Accepted-Wait,complete,Mikael-Org line C,2011-04-11 11:18:36+03:00,Accepted-Wait,Mikael,Org line C,1-514618724,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line C,2012-02-21 11:22:27+02:00,Accepted-In Progress,Mikael,Org line C,1-514618724,Variant 7,7,Fluxicon Disco
Completed-Closed,complete,Mikael-Org line C,2012-02-21 11:31:26+02:00,Completed-Closed,Mikael,Org line C,1-514618724,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2011-04-08 14:23:18+03:00,Accepted-In Progress,James,Org line V11,1-514712116,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,James-Org line V11,2012-04-24 16:16:44+03:00,Accepted-In Progress,James,Org line V11,1-514712116,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,James-Org line V11,2012-04-24 16:16:46+03:00,Completed-Closed,James,Org line V11,1-514712116,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Patrik-Org line A2,2011-04-08 18:37:57+03:00,Accepted-In Progress,Patrik,Org line A2,1-514832700,Variant 6,6,Fluxicon Disco
Accepted-Assigned,complete,Patrik-Org line A2,2012-03-28 14:12:38+03:00,Accepted-Assigned,Patrik,Org line A2,1-514832700,Variant 6,6,Fluxicon Disco
