"case","event","startTime","completeTime","enddate_planned","enddate","responsible","channel","startdate","deadline","department","group","org:resource","org:group"
"case-10225","T02 Check confirmation of receipt","2011/12/07 10:04:22.794","2011/12/07 10:04:22.794","2011/12/22 00:00:00.010","2012/01/18 12:34:02.740","Resource14","Internet","2011/10/27 01:06:40.020","2011/12/22 00:00:00.000","General","Group 5","Resource14","Group 4"
"case-10225","T04 Determine confirmation of receipt","2011/12/07 10:05:05.939","2011/12/07 10:05:05.939","2011/12/22 00:00:00.010","2012/01/18 12:34:02.740","Resource14","Internet","2011/10/27 01:06:40.020","2011/12/22 00:00:00.000","General","Group 5","Resource14","Group 3"
"case-10225","T05 Print and send confirmation of receipt","2011/12/07 10:05:36.523","2011/12/07 10:05:36.523","2011/12/22 00:00:00.010","2012/01/18 12:34:02.740","Resource14","Internet","2011/10/27 01:06:40.020","2011/12/22 00:00:00.000","General","Group 5","Resource14","Group 2"
"case-10225","T10 Determine necessity to stop indication","2011/12/07 10:16:31.803","2011/12/07 10:16:31.803","2011/12/22 00:00:00.010","2012/01/18 12:34:02.740","Resource14","Internet","2011/10/27 01:06:40.020","2011/12/22 00:00:00.000","General","Group 5","Resource14","Group 1"
"case-10228","Confirmation of receipt","2011/10/31 10:14:35.980","2011/10/31 10:14:35.980","2012/01/16 01:06:40.010","2011/10/31 10:14:34.772","admin3","Internet","2011/10/28 01:06:40.020","2012/01/16 01:06:40.000","Customer contact",,"admin2","Group 1"
"case-10232","Confirmation of receipt","2011/12/07 12:16:57.518","2011/12/07 12:16:57.518","2011/12/23 01:06:40.010","2011/12/14 00:00:00.010","Resource01","Internet","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource16","EMPTY"
"case-10232","T02 Check confirmation of receipt","2011/12/07 12:20:41.121","2011/12/07 12:20:41.121","2011/12/23 01:06:40.010","2011/12/14 00:00:00.010","Resource01","Internet","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource16","Group 4"
"case-10232","T04 Determine confirmation of receipt","2011/12/07 12:21:05.443","2011/12/07 12:21:05.443","2011/12/23 01:06:40.010","2011/12/14 00:00:00.010","Resource01","Internet","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource16","Group 3"
"case-10232","T05 Print and send confirmation of receipt","2011/12/07 12:21:28.467","2011/12/07 12:21:28.467","2011/12/23 01:06:40.010","2011/12/14 00:00:00.010","Resource01","Internet","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource16","Group 2"
"case-10232","T06 Determine necessity of stop advice","2011/12/07 12:21:51.193","2011/12/07 12:21:51.193","2011/12/23 01:06:40.010","2011/12/14 00:00:00.010","Resource01","Internet","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource16","Group 1"
"case-10232","T10 Determine necessity to stop indication","2011/12/07 12:22:21.436","2011/12/07 12:22:21.436","2011/12/23 01:06:40.010","2011/12/14 00:00:00.010","Resource01","Internet","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource16","Group 1"
"case-10244","Confirmation of receipt","2011/11/02 16:13:16.366","2011/11/02 16:13:16.366","2012/01/16 01:06:40.010","2011/11/02 16:13:15.190","admin3","Internet","2011/10/29 01:06:40.020","2012/01/16 01:06:40.000","Customer contact",,"admin2","Group 1"
"case-10259","Confirmation of receipt","2011/12/07 14:16:30.384","2011/12/07 14:16:30.384","2011/12/26 01:06:40.010","2011/12/07 14:16:29.410","Resource09","Internet","2011/10/31 01:06:40.010","2011/12/26 01:06:40.000","General","Group 5","admin2","EMPTY"
"case-10263","Confirmation of receipt","2011/11/18 14:15:19.355","2011/11/18 14:15:19.355","2011/12/26 01:06:40.010",,"Resource12","Internet","2011/10/31 01:06:40.010","2011/12/26 01:06:40.000","General","Group 5","Resource12","EMPTY"
"case-10263","T02 Check confirmation of receipt","2011/11/18 14:15:51.435","2011/11/18 14:15:51.435","2011/12/26 01:06:40.010",,"Resource12","Internet","2011/10/31 01:06:40.010","2011/12/26 01:06:40.000","General","Group 5","Resource12","Group 4"
"case-10263","T04 Determine confirmation of receipt","2011/11/18 14:17:30.382","2011/11/18 14:17:30.382","2011/12/26 01:06:40.010",,"Resource12","Internet","2011/10/31 01:06:40.010","2011/12/26 01:06:40.000","General","Group 5","Resource12","Group 3"
"case-10263","T06 Determine necessity of stop advice","2011/11/29 14:23:32.990","2011/11/29 14:23:32.990","2011/12/26 01:06:40.010",,"Resource12","Internet","2011/10/31 01:06:40.010","2011/12/26 01:06:40.000","General","Group 5","Resource12","Group 1"
"case-10263","T05 Print and send confirmation of receipt","2011/11/30 12:02:03.222","2011/11/30 12:02:03.222","2011/12/26 01:06:40.010",,"Resource12","Internet","2011/10/31 01:06:40.010","2011/12/26 01:06:40.000","General","Group 5","Resource27","Group 2"
"case-10266","Confirmation of receipt","2011/11/15 11:45:03.544","2011/11/15 11:45:03.544","2011/12/26 01:06:40.010","2011/11/15 11:45:02.515","Resource06","Internet","2011/10/31 01:06:40.010","2011/12/26 01:06:40.000","General","Group 5","admin2","EMPTY"
"case-10273","Confirmation of receipt","2011/12/09 10:19:25.642","2011/12/09 10:19:25.642","2011/12/27 01:06:40.010","2011/12/09 10:19:24.639","Resource04","Internet","2011/11/01 01:06:40.010","2011/12/27 01:06:40.000","General","Group 5","admin2","EMPTY"
"case-10284","Confirmation of receipt","2011/11/09 10:10:47.105","2011/11/09 10:10:47.105","2011/12/28 01:06:40.010","2011/12/07 09:34:15.575","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","EMPTY"
"case-10284","T06 Determine necessity of stop advice","2011/11/09 10:11:19.508","2011/11/09 10:11:19.508","2011/12/28 01:06:40.010","2011/12/07 09:34:15.575","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10284","T02 Check confirmation of receipt","2011/11/09 10:11:49.422","2011/11/09 10:11:49.422","2011/12/28 01:06:40.010","2011/12/07 09:34:15.575","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10284","T04 Determine confirmation of receipt","2011/11/09 10:12:31.413","2011/11/09 10:12:31.413","2011/12/28 01:06:40.010","2011/12/07 09:34:15.575","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10284","T05 Print and send confirmation of receipt","2011/11/09 10:17:20.992","2011/11/09 10:17:20.992","2011/12/28 01:06:40.010","2011/12/07 09:34:15.575","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10284","T10 Determine necessity to stop indication","2011/11/09 10:17:42.795","2011/11/09 10:17:42.795","2011/12/28 01:06:40.010","2011/12/07 09:34:15.575","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10286","Confirmation of receipt","2011/11/09 09:19:20.905","2011/11/09 09:19:20.905","2011/12/23 01:06:40.010","2011/12/07 09:11:03.638","Resource11","Post","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource03","EMPTY"
"case-10286","T02 Check confirmation of receipt","2011/11/09 09:22:21.141","2011/11/09 09:22:21.141","2011/12/23 01:06:40.010","2011/12/07 09:11:03.638","Resource11","Post","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10286","T04 Determine confirmation of receipt","2011/11/09 09:22:39.816","2011/11/09 09:22:39.816","2011/12/23 01:06:40.010","2011/12/07 09:11:03.638","Resource11","Post","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10286","T05 Print and send confirmation of receipt","2011/11/09 09:22:57.042","2011/11/09 09:22:57.042","2011/12/23 01:06:40.010","2011/12/07 09:11:03.638","Resource11","Post","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10286","T06 Determine necessity of stop advice","2011/11/09 09:23:13.487","2011/11/09 09:23:13.487","2011/12/23 01:06:40.010","2011/12/07 09:11:03.638","Resource11","Post","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10286","T10 Determine necessity to stop indication","2011/11/09 09:31:00.488","2011/11/09 09:31:00.488","2011/12/23 01:06:40.010","2011/12/07 09:11:03.638","Resource11","Post","2011/10/28 01:06:40.020","2011/12/23 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10287","Confirmation of receipt","2011/11/09 10:36:08.748","2011/11/09 10:36:08.748","2011/12/28 00:00:00.010","2011/12/23 14:11:59.502","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 00:00:00.000","General","Group 8","Resource03","EMPTY"
"case-10287","T02 Check confirmation of receipt","2011/11/09 10:36:27.973","2011/11/09 10:36:27.973","2011/12/28 00:00:00.010","2011/12/23 14:11:59.502","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 00:00:00.000","General","Group 8","Resource03","Group 4"
"case-10287","T04 Determine confirmation of receipt","2011/11/09 10:36:44.917","2011/11/09 10:36:44.917","2011/12/28 00:00:00.010","2011/12/23 14:11:59.502","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 00:00:00.000","General","Group 8","Resource03","Group 3"
"case-10287","T05 Print and send confirmation of receipt","2011/11/09 10:36:59.330","2011/11/09 10:36:59.330","2011/12/28 00:00:00.010","2011/12/23 14:11:59.502","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 00:00:00.000","General","Group 8","Resource03","Group 2"
"case-10287","T06 Determine necessity of stop advice","2011/11/09 10:37:15.027","2011/11/09 10:37:15.027","2011/12/28 00:00:00.010","2011/12/23 14:11:59.502","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 00:00:00.000","General","Group 8","Resource03","Group 1"
"case-10287","T10 Determine necessity to stop indication","2011/11/09 10:37:34.862","2011/11/09 10:37:34.862","2011/12/28 00:00:00.010","2011/12/23 14:11:59.502","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 00:00:00.000","General","Group 8","Resource03","Group 1"
"case-10289","Confirmation of receipt","2011/11/10 11:33:31.398","2011/11/10 11:33:31.398","2012/02/02 00:00:00.010",,"Resource06","Internet","2011/11/02 01:06:40.010","2012/02/02 00:00:00.000","General","Group 5","Resource06","EMPTY"
"case-10289","T02 Check confirmation of receipt","2011/11/10 11:37:51.725","2011/11/10 11:37:51.725","2012/02/02 00:00:00.010",,"Resource06","Internet","2011/11/02 01:06:40.010","2012/02/02 00:00:00.000","General","Group 5","Resource06","Group 4"
"case-10289","T04 Determine confirmation of receipt","2011/11/10 11:38:11.514","2011/11/10 11:38:11.514","2012/02/02 00:00:00.010",,"Resource06","Internet","2011/11/02 01:06:40.010","2012/02/02 00:00:00.000","General","Group 5","Resource06","Group 3"
"case-10289","T05 Print and send confirmation of receipt","2011/11/10 11:38:30.166","2011/11/10 11:38:30.166","2012/02/02 00:00:00.010",,"Resource06","Internet","2011/11/02 01:06:40.010","2012/02/02 00:00:00.000","General","Group 5","Resource06","Group 2"
"case-10289","T06 Determine necessity of stop advice","2011/11/10 11:39:49.369","2011/11/10 11:39:49.369","2012/02/02 00:00:00.010",,"Resource06","Internet","2011/11/02 01:06:40.010","2012/02/02 00:00:00.000","General","Group 5","Resource06","Group 1"
"case-10289","T10 Determine necessity to stop indication","2011/11/10 11:40:42.373","2011/11/10 11:40:42.373","2012/02/02 00:00:00.010",,"Resource06","Internet","2011/11/02 01:06:40.010","2012/02/02 00:00:00.000","General","Group 5","Resource06","Group 1"
"case-10291","Confirmation of receipt","2011/11/17 15:25:46.106","2011/11/17 15:25:46.106","2011/12/28 01:06:40.010","2011/11/17 15:25:45.174","Resource03","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 2","admin2","EMPTY"
"case-10297","Confirmation of receipt","2011/11/09 12:23:28.314","2011/11/09 12:23:28.314","2011/12/28 01:06:40.010","2011/12/07 10:53:41.781","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource21","EMPTY"
"case-10297","T02 Check confirmation of receipt","2011/11/09 12:23:55.292","2011/11/09 12:23:55.292","2011/12/28 01:06:40.010","2011/12/07 10:53:41.781","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource21","Group 4"
"case-10297","T04 Determine confirmation of receipt","2011/11/09 12:24:19.850","2011/11/09 12:24:19.850","2011/12/28 01:06:40.010","2011/12/07 10:53:41.781","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource21","Group 3"
"case-10297","T05 Print and send confirmation of receipt","2011/11/09 12:24:37.827","2011/11/09 12:24:37.827","2011/12/28 01:06:40.010","2011/12/07 10:53:41.781","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource21","Group 2"
"case-10297","T06 Determine necessity of stop advice","2011/11/09 12:42:02.828","2011/11/09 12:42:02.828","2011/12/28 01:06:40.010","2011/12/07 10:53:41.781","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource21","Group 1"
"case-10297","T10 Determine necessity to stop indication","2011/11/09 12:42:35.139","2011/11/09 12:42:35.139","2011/12/28 01:06:40.010","2011/12/07 10:53:41.781","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource21","Group 1"
"case-10299","Confirmation of receipt","2011/11/09 11:01:38.475","2011/11/09 11:01:38.475","2011/12/28 01:06:40.010","2011/12/13 07:41:22.236","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","EMPTY"
"case-10299","T02 Check confirmation of receipt","2011/11/09 11:01:59.252","2011/11/09 11:01:59.252","2011/12/28 01:06:40.010","2011/12/13 07:41:22.236","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10299","T04 Determine confirmation of receipt","2011/11/09 11:02:18.044","2011/11/09 11:02:18.044","2011/12/28 01:06:40.010","2011/12/13 07:41:22.236","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10299","T05 Print and send confirmation of receipt","2011/11/09 11:02:37.096","2011/11/09 11:02:37.096","2011/12/28 01:06:40.010","2011/12/13 07:41:22.236","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10299","T06 Determine necessity of stop advice","2011/11/09 11:03:10.328","2011/11/09 11:03:10.328","2011/12/28 01:06:40.010","2011/12/13 07:41:22.236","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10299","T10 Determine necessity to stop indication","2011/11/09 11:03:41.390","2011/11/09 11:03:41.390","2011/12/28 01:06:40.010","2011/12/13 07:41:22.236","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10300","Confirmation of receipt","2011/11/10 10:34:14.137","2011/11/10 10:34:14.137","2011/12/28 01:06:40.010","2011/12/13 07:47:04.800","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","EMPTY"
"case-10300","T02 Check confirmation of receipt","2011/11/10 10:34:33.033","2011/11/10 10:34:33.033","2011/12/28 01:06:40.010","2011/12/13 07:47:04.800","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10300","T04 Determine confirmation of receipt","2011/11/10 10:34:50.827","2011/11/10 10:34:50.827","2011/12/28 01:06:40.010","2011/12/13 07:47:04.800","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10300","T05 Print and send confirmation of receipt","2011/11/10 10:35:08.823","2011/11/10 10:35:08.823","2011/12/28 01:06:40.010","2011/12/13 07:47:04.800","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10300","T06 Determine necessity of stop advice","2011/11/10 10:35:24.410","2011/11/10 10:35:24.410","2011/12/28 01:06:40.010","2011/12/13 07:47:04.800","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10300","T10 Determine necessity to stop indication","2011/11/10 10:35:48.129","2011/11/10 10:35:48.129","2011/12/28 01:06:40.010","2011/12/13 07:47:04.800","Resource11","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10306","Confirmation of receipt","2011/12/21 13:52:38.616","2011/12/21 13:52:38.616","2011/12/28 01:06:40.010","2011/12/21 13:52:37.326","Resource08","Internet","2011/11/02 01:06:40.010","2011/12/28 01:06:40.000","General","Group 5","admin2","EMPTY"
"case-10322","Confirmation of receipt","2011/11/15 08:52:21.307","2011/11/15 08:52:21.307","2011/12/30 01:06:40.010","2011/12/13 07:51:46.479","Resource11","Internet","2011/11/04 01:06:40.010","2011/12/30 01:06:40.000","General","Group 8","Resource03","EMPTY"
"case-10322","T02 Check confirmation of receipt","2011/11/15 08:53:38.329","2011/11/15 08:53:38.329","2011/12/30 01:06:40.010","2011/12/13 07:51:46.479","Resource11","Internet","2011/11/04 01:06:40.010","2011/12/30 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10322","T04 Determine confirmation of receipt","2011/11/15 08:54:00.462","2011/11/15 08:54:00.462","2011/12/30 01:06:40.010","2011/12/13 07:51:46.479","Resource11","Internet","2011/11/04 01:06:40.010","2011/12/30 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10322","T05 Print and send confirmation of receipt","2011/11/15 08:54:14.252","2011/11/15 08:54:14.252","2011/12/30 01:06:40.010","2011/12/13 07:51:46.479","Resource11","Internet","2011/11/04 01:06:40.010","2011/12/30 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10322","T06 Determine necessity of stop advice","2011/11/15 08:54:28.851","2011/11/15 08:54:28.851","2011/12/30 01:06:40.010","2011/12/13 07:51:46.479","Resource11","Internet","2011/11/04 01:06:40.010","2011/12/30 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10322","T10 Determine necessity to stop indication","2011/11/15 08:54:50.336","2011/11/15 08:54:50.336","2011/12/30 01:06:40.010","2011/12/13 07:51:46.479","Resource11","Internet","2011/11/04 01:06:40.010","2011/12/30 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10324","Confirmation of receipt","2011/11/04 13:05:32.854","2011/11/04 13:05:32.854","2011/12/30 13:03:40.343",,"Resource26","Internet","2011/11/04 13:03:40.343","2011/12/30 13:03:40.343","General",,"Resource26","Group 1"
"case-10324","T06 Determine necessity of stop advice","2011/11/08 11:03:26.870","2011/11/08 11:03:26.870","2011/12/30 13:03:40.343",,"Resource26","Internet","2011/11/04 13:03:40.343","2011/12/30 13:03:40.343","General",,"Resource26","Group 1"
"case-10324","T07-1 Draft intern advice aspect 1","2011/12/12 12:12:42.140","2011/12/12 12:12:42.140","2011/12/30 13:03:40.343",,"Resource26","Internet","2011/11/04 13:03:40.343","2011/12/30 13:03:40.343","General",,"Resource24","Group 13"
"case-10326","Confirmation of receipt","2011/11/30 15:55:18.032","2011/11/30 15:55:18.032","2011/12/30 00:00:00.010",,"Resource09","Internet","2011/11/04 01:06:40.010","2012/02/05 00:00:00.000","General","Group 5","Resource09","EMPTY"
"case-10326","T02 Check confirmation of receipt","2011/11/30 15:56:06.840","2011/11/30 15:56:06.840","2011/12/30 00:00:00.010",,"Resource09","Internet","2011/11/04 01:06:40.010","2012/02/05 00:00:00.000","General","Group 5","Resource09","Group 4"
"case-10326","T04 Determine confirmation of receipt","2011/11/30 15:57:16.513","2011/11/30 15:57:16.513","2011/12/30 00:00:00.010",,"Resource09","Internet","2011/11/04 01:06:40.010","2012/02/05 00:00:00.000","General","Group 5","Resource09","Group 3"
"case-10326","T05 Print and send confirmation of receipt","2011/11/30 15:57:41.635","2011/11/30 15:57:41.635","2011/12/30 00:00:00.010",,"Resource09","Internet","2011/11/04 01:06:40.010","2012/02/05 00:00:00.000","General","Group 5","Resource09","Group 2"
"case-10326","T06 Determine necessity of stop advice","2011/11/30 15:58:23.761","2011/11/30 15:58:23.761","2011/12/30 00:00:00.010",,"Resource09","Internet","2011/11/04 01:06:40.010","2012/02/05 00:00:00.000","General","Group 5","Resource09","Group 1"
"case-10326","T10 Determine necessity to stop indication","2011/11/30 16:04:43.684","2011/11/30 16:04:43.684","2011/12/30 00:00:00.010",,"Resource09","Internet","2011/11/04 01:06:40.010","2012/02/05 00:00:00.000","General","Group 5","Resource09","Group 1"
"case-10336","Confirmation of receipt","2011/11/17 15:56:50.215","2011/11/17 15:56:50.215","2011/12/31 00:00:00.010","2011/12/20 10:45:09.086","Resource11","Internet","2011/11/05 01:06:40.010","2011/12/31 00:00:00.000","General","Group 8","Resource03","EMPTY"
"case-10336","T02 Check confirmation of receipt","2011/11/17 15:57:14.361","2011/11/17 15:57:14.361","2011/12/31 00:00:00.010","2011/12/20 10:45:09.086","Resource11","Internet","2011/11/05 01:06:40.010","2011/12/31 00:00:00.000","General","Group 8","Resource03","Group 4"
"case-10336","T04 Determine confirmation of receipt","2011/11/17 15:57:53.421","2011/11/17 15:57:53.421","2011/12/31 00:00:00.010","2011/12/20 10:45:09.086","Resource11","Internet","2011/11/05 01:06:40.010","2011/12/31 00:00:00.000","General","Group 8","Resource03","Group 3"
"case-10336","T05 Print and send confirmation of receipt","2011/11/17 15:58:15.308","2011/11/17 15:58:15.308","2011/12/31 00:00:00.010","2011/12/20 10:45:09.086","Resource11","Internet","2011/11/05 01:06:40.010","2011/12/31 00:00:00.000","General","Group 8","Resource03","Group 2"
"case-10336","T06 Determine necessity of stop advice","2011/11/17 15:58:38.333","2011/11/17 15:58:38.333","2011/12/31 00:00:00.010","2011/12/20 10:45:09.086","Resource11","Internet","2011/11/05 01:06:40.010","2011/12/31 00:00:00.000","General","Group 8","Resource03","Group 1"
"case-10336","T10 Determine necessity to stop indication","2011/11/17 15:59:46.294","2011/11/17 15:59:46.294","2011/12/31 00:00:00.010","2011/12/20 10:45:09.086","Resource11","Internet","2011/11/05 01:06:40.010","2011/12/31 00:00:00.000","General","Group 8","Resource03","Group 1"
"case-10339","Confirmation of receipt","2011/11/14 13:52:08.621","2011/11/14 13:52:08.621","2011/12/31 01:06:40.010",,"Resource06","Internet","2011/11/05 01:06:40.010","2011/12/31 01:06:40.000","General","Group 5","Resource06","EMPTY"
"case-10339","T02 Check confirmation of receipt","2011/11/14 13:55:13.723","2011/11/14 13:55:13.723","2011/12/31 01:06:40.010",,"Resource06","Internet","2011/11/05 01:06:40.010","2011/12/31 01:06:40.000","General","Group 5","Resource06","Group 4"
"case-10339","T04 Determine confirmation of receipt","2011/11/14 13:55:44.472","2011/11/14 13:55:44.472","2011/12/31 01:06:40.010",,"Resource06","Internet","2011/11/05 01:06:40.010","2011/12/31 01:06:40.000","General","Group 5","Resource06","Group 3"
"case-10339","T05 Print and send confirmation of receipt","2011/11/14 13:56:07.190","2011/11/14 13:56:07.190","2011/12/31 01:06:40.010",,"Resource06","Internet","2011/11/05 01:06:40.010","2011/12/31 01:06:40.000","General","Group 5","Resource06","Group 2"
"case-10339","T06 Determine necessity of stop advice","2011/11/14 13:57:03.737","2011/11/14 13:57:03.737","2011/12/31 01:06:40.010",,"Resource06","Internet","2011/11/05 01:06:40.010","2011/12/31 01:06:40.000","General","Group 5","Resource06","Group 1"
"case-10339","T10 Determine necessity to stop indication","2011/11/14 13:57:28.105","2011/11/14 13:57:28.105","2011/12/31 01:06:40.010",,"Resource06","Internet","2011/11/05 01:06:40.010","2011/12/31 01:06:40.000","General","Group 5","Resource06","Group 1"
"case-10350","Confirmation of receipt","2011/11/10 15:10:55.045","2011/11/10 15:10:55.045","2012/01/01 01:06:40.010","2011/12/07 09:48:15.041","Resource11","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 8","Resource03","EMPTY"
"case-10350","T02 Check confirmation of receipt","2011/11/10 15:11:15.596","2011/11/10 15:11:15.596","2012/01/01 01:06:40.010","2011/12/07 09:48:15.041","Resource11","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 8","Resource03","Group 4"
"case-10350","T04 Determine confirmation of receipt","2011/11/10 15:11:31.757","2011/11/10 15:11:31.757","2012/01/01 01:06:40.010","2011/12/07 09:48:15.041","Resource11","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 8","Resource03","Group 3"
"case-10350","T05 Print and send confirmation of receipt","2011/11/10 15:11:46.581","2011/11/10 15:11:46.581","2012/01/01 01:06:40.010","2011/12/07 09:48:15.041","Resource11","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 8","Resource03","Group 2"
"case-10350","T06 Determine necessity of stop advice","2011/11/10 15:12:02.898","2011/11/10 15:12:02.898","2012/01/01 01:06:40.010","2011/12/07 09:48:15.041","Resource11","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10350","T10 Determine necessity to stop indication","2011/11/10 15:12:27.629","2011/11/10 15:12:27.629","2012/01/01 01:06:40.010","2011/12/07 09:48:15.041","Resource11","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 8","Resource03","Group 1"
"case-10352","Confirmation of receipt","2011/11/14 10:50:37.798","2011/11/14 10:50:37.798","2012/01/01 01:06:40.010","2011/11/18 10:49:10.069","Resource20","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 2","Resource20","EMPTY"
"case-10352","T02 Check confirmation of receipt","2011/11/14 10:51:38.023","2011/11/14 10:51:38.023","2012/01/01 01:06:40.010","2011/11/18 10:49:10.069","Resource20","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 2","Resource20","EMPTY"
"case-10352","T04 Determine confirmation of receipt","2011/11/14 11:59:27.024","2011/11/14 11:59:27.024","2012/01/01 01:06:40.010","2011/11/18 10:49:10.069","Resource20","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 2","Resource20","Group 3"
"case-10352","T05 Print and send confirmation of receipt","2011/11/14 12:00:15.861","2011/11/14 12:00:15.861","2012/01/01 01:06:40.010","2011/11/18 10:49:10.069","Resource20","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 2","Resource20","Group 2"
"case-10352","T06 Determine necessity of stop advice","2011/11/14 12:00:44.335","2011/11/14 12:00:44.335","2012/01/01 01:06:40.010","2011/11/18 10:49:10.069","Resource20","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 2","Resource20","Group 1"
"case-10352","T10 Determine necessity to stop indication","2011/11/14 12:01:17.656","2011/11/14 12:01:17.656","2012/01/01 01:06:40.010","2011/11/18 10:49:10.069","Resource20","Internet","2011/11/06 01:06:40.010","2012/01/01 01:06:40.000","General","Group 2","Resource20","Group 1"
"case-10354","Confirmation of receipt","2011/11/07 08:48:39.290","2011/11/07 08:48:39.290","2012/01/02 08:47:37.906","2011/11/07 08:48:38.223","test","Internet","2011/11/07 08:47:37.906","2012/01/02 08:47:37.906","Customer contact",,"admin2","Group 1"
